Year,NB.std,NB.res,KGU.std,KGU.res
1476,1.13312,1.25454,2.12466,
1477,1.28018,1.3228,2.03899,
1478,1.11403,1.16622,1.37323,
1479,0.67244,0.66372,0.88788,0.40392
1480,0.48392,0.5842,0.42113,0.23379
1481,0.60102,0.71935,0.59138,0.74746
1482,1.25176,1.37461,1.64232,1.90142
1483,0.85736,0.85393,0.93759,0.88809
1484,1.6875,1.79374,1.1514,1.11347
1485,1.05996,1.02335,0.85976,0.72568
1486,1.10407,0.99271,1.24676,1.27416
1487,0.41568,0.42851,0.49236,0.4145
1488,1.11276,1.27583,0.61699,0.75941
1489,1.17506,1.33596,0.66591,0.84981
1490,1.33585,1.37532,0.74734,1.00442
1491,1.56099,1.59024,0.98321,1.18576
1492,1.04988,0.90602,0.75863,0.86097
1493,1.04551,1.02392,0.98923,1.10962
1494,0.85541,0.81152,1.11153,1.16247
1495,0.30762,0.30875,0.47458,0.4758
1496,0.83045,0.9742,0.99556,1.14969
1497,1.0511,1.14398,1.00672,1.08926
1498,1.13672,1.16756,1.54719,1.62414
1499,0.66415,0.69354,1.20555,1.02453
1500,0.18386,0.26954,0.26074,0.09021
1501,0.98985,1.20925,1.21715,1.34112
1502,0.94107,1.02104,1.27731,1.31253
1503,1.15784,1.2087,1.04935,1.02775
1504,1.17031,1.26724,1.07142,0.97121
1505,0.67378,0.67435,0.74533,0.67126
1506,0.55565,0.62449,0.99045,1.05379
1507,0.9975,1.08952,1.74198,1.78184
1508,1.19983,1.20882,1.2851,1.08019
1509,1.63051,1.59751,1.79207,1.56151
1510,0.81456,0.66137,0.92628,0.50146
1511,1.29411,1.30905,1.1146,0.94912
1512,1.05152,0.99256,1.08223,0.94006
1513,1.40903,1.32208,1.23253,1.19511
1514,1.28479,1.16809,0.91923,0.81018
1515,0.96079,0.8195,0.8131,0.78424
1516,0.78833,0.75829,0.56225,0.60423
1517,1.00651,0.99266,0.82998,1.02113
1518,0.82894,0.81611,0.64452,0.80986
1519,1.19555,1.22507,1.09275,1.30685
1520,0.86512,0.87126,0.81435,0.87522
1521,0.93244,0.9775,0.72166,0.81863
1522,0.29904,0.32329,0.175,0.28748
1523,0.78712,0.90033,0.55525,0.90673
1524,0.91616,0.98552,0.57184,0.91341
1525,0.84272,0.87545,0.50086,0.84775
1526,1.19217,1.31775,0.87061,1.18113
1527,0.85189,0.87581,0.61345,0.81277
1528,0.69931,0.76536,0.67664,0.90259
1529,0.56945,0.66535,0.49599,0.69379
1530,0.75256,0.86771,0.72366,1.00762
1531,0.94796,1.05229,0.63065,0.86371
1532,0,0.13896,0.23588,0.48421
1533,0.53821,0.78818,0,0.36185
1534,1.03851,1.25289,0.81786,1.34477
1535,1.08377,1.16102,1.07069,1.43063
1536,1.31414,1.39982,1.16439,1.32405
1537,1.34257,1.36058,0.99841,1.19049
1538,0.52007,0.46594,0.56388,0.48187
1539,0.85838,0.92852,0.86564,1.15332
1540,1.11704,1.14553,1.83383,1.9569
1541,1.01957,0.94748,1.28142,1.06815
1542,0.47823,0.475,0.53159,0.29901
1543,1.14183,1.26072,1.07468,1.07395
1544,0.77421,0.7867,1.02875,1.04143
1545,0.77985,0.82453,0.75193,0.78062
1546,1.1697,1.2783,1.22101,1.28861
1547,0.6203,0.61116,1.07936,1.02995
1548,0.90989,0.99369,1.273,1.23401
1549,1.39237,1.4532,1.59013,1.46143
1550,1.27948,1.2008,1.62653,1.35926
1551,1.24382,1.17995,1.52154,1.1658
1552,0.90917,0.82847,1.56577,1.20075
1553,0.95629,0.9095,1.53737,1.15974
1554,0.59655,0.5678,1.38509,1.03734
1555,1.17973,1.23361,1.76413,1.45995
1556,1.19542,1.1816,1.60889,1.19874
1557,1.30992,1.23482,1.13903,0.74223
1558,0.90117,0.85052,0.9167,0.6756
1559,1.05068,1.0435,1.12111,1.05741
1560,1.23031,1.21823,1.0707,1.0136
1561,0.77007,0.69085,0.70096,0.65509
1562,1.08899,1.1128,1.27656,1.36099
1563,0.82259,0.8244,1.20764,1.14911
1564,1.35733,1.35307,1.29089,1.63893
1565,1.36824,1.27744,1.49635,1.26301
1566,1.34203,1.21622,1.29724,1.13286
1567,0.66921,0.59833,0.90114,0.66746
1568,1.12078,1.1456,1.22686,1.09969
1569,1.0789,1.05885,0.99326,0.9349
1570,1.06051,0.95861,1.00218,0.94704
1571,0.80212,0.7919,0.99606,0.96755
1572,0.78426,0.8422,1.08566,1.08189
1573,0.9227,0.95665,0.97487,0.96417
1574,0.8704,0.901,0.95382,0.83356
1575,0.92598,0.99251,0.89091,0.91605
1576,0.95612,0.99303,0.8071,0.86007
1577,1.53901,1.58643,0.90719,1.17977
1578,1.41703,1.33948,0.98918,1.13288
1579,1.03212,0.89611,0.77391,0.83404
1580,0.59136,0.56068,0.44218,0.36786
1581,1.2059,1.24219,0.78865,1.02335
1582,0.85218,0.78851,0.48687,0.71716
1583,0.33604,0.32968,0.45993,0.72131
1584,0.53092,0.71617,0.56367,0.78635
1585,0.36516,0.50316,0.50758,0.87965
1586,1.16242,1.35048,0.96081,1.37596
1587,1.04757,1.17486,1.15156,1.25343
1588,1.21539,1.28021,1.06627,1.10895
1589,0.89426,0.95246,0.98777,0.87721
